species	canonical_gene_id	raw_gene_id	evidence_source	evidence_source_file	evidence_type	evidence_term_raw	evidence_class	supports_gold_label	used_as_feature	used_as_weight	confidence	needs_manual_review	notes	final_id_status	selection_rule
fgraminearum	fgraminearum::FGRAMPH1_01G00391	FGSG_00144	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 2151; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G00811	FGSG_00304	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 5216; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G00987	FGSG_00374	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 1613; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G01289	FGSG_00504	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 1722; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G01439	FGRAMPH1_01G01439	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	false	PHI Record Record 12389; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G01705	FGSG_00677	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 1375; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G01733	FGRAMPH1_01G01733	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	false	PHI Record Record 12390; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G02007	FGSG_00800	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 2143; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G02825	FGSG_01137	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 1376; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G02967	FGSG_01198	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 1726; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G03147	FGSG_01271	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 1377; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G03195	FGSG_01290	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 1729; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G03379	FGRAMPH1_01G03379	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	false	PHI Record Record 12395; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G03923	FGRAMPH1_0G03923	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	false	PHI Record Record 12461; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G04197	FGSG_01724	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	true	PHI Record Record 2111; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
fgraminearum	fgraminearum::FGRAMPH1_01G04933	FGRAMPH1_01G04933	phi-base_current.csv	/Users/jiehuang/work/2025禾谷镰刀菌/程序/Fusarium/Evidence/PHI-base/phi-base_current.csv	phi_base_mutant_phenotype	lethal	gold_essential	true	true	false	medium	false	PHI Record Record 12400; Essential_gene_Lethal_knockout=yes	resolved	phi_lethal_supports_gold_excluding_transcript_only_raw_ids_and_requiring_final_canonical_id
