protocol_name	species	regime	data_key	canonical_gene_id	graph_gene_id	source_gene_id	label	label_text	label_status	label_source_project	label_source_file	source_manifest	positive_definition	notes	is_mainline_protocol	protocol_version	split	split_seed	split_strategy	test_fraction	val_fraction	split_version
scerevisiae	scerevisiae	standard	scerevisiae	S000000001	S000000001	S000000001	1	essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000002	S000000002	S000000002	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000008	S000000008	S000000008	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000010	S000000010	S000000010	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000020	S000000020	S000000020	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000024	S000000024	S000000024	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000027	S000000027	S000000027	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000029	S000000029	S000000029	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000032	S000000032	S000000032	1	essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000033	S000000033	S000000033	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000039	S000000039	S000000039	1	essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000040	S000000040	S000000040	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000041	S000000041	S000000041	1	essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000044	S000000044	S000000044	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000046	S000000046	S000000046	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000058	S000000058	S000000058	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000063	S000000063	S000000063	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000067	S000000067	S000000067	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000075	S000000075	S000000075	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000084	S000000084	S000000084	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000099	S000000099	S000000099	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000116	S000000116	S000000116	1	essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000124	S000000124	S000000124	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000127	S000000127	S000000127	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000131	S000000131	S000000131	1	essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000134	S000000134	S000000134	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000138	S000000138	S000000138	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000163	S000000163	S000000163	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000170	S000000170	S000000170	1	essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000171	S000000171	S000000171	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000182	S000000182	S000000182	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000184	S000000184	S000000184	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000186	S000000186	S000000186	0	non-essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	non-essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
scerevisiae	scerevisiae	standard	scerevisiae	S000000193	S000000193	S000000193	1	essential	frozen	bingo	scerevisiae/orig_sample_list/gene_list.txt	data/processed/essential_gene/scerevisiae/labels.standard.tsv	essential	EPGAT used a different ID namespace. Using Bingo as primary.	True	frozen_protocol_v1	test	20260409	stratified_fixed	0.2	0.1	frozen_protocol_v1_seed20260409_test20_val10
