node_id	species	protocol	label	split	n_seeds_observed	mean_delta_probability	std_delta_probability	mean_baseline_probability	mean_esm2_probability	mean_baseline_pred_label	mean_esm2_pred_label	FN_persistent	FN_to_TP_rescued	FP_persistent	FP_to_TN_corrected	TN_stable	TN_to_FP_regressed	TP_stable	TP_to_FN_regressed	fn_to_tp_rescued_count	fn_to_tp_rescued_frequency	fn_to_tp_rescued_stable_ge2	fp_to_tn_corrected_count	fp_to_tn_corrected_frequency	fp_to_tn_corrected_stable_ge2	persistent_fn_count	persistent_fn_frequency	persistent_fn_stable_ge2	persistent_fp_count	persistent_fp_frequency	persistent_fp_stable_ge2	rescue_count	rescue_frequency	stable_rescued_ge2	confidence_tier
FGRAMPH1_01G00015	fgraminearum	fgraminearum_newlabel	0	test	5	-0.05191005387948163	0.017373596849451976	0.0530108936131	0.0011008397336183628	0.0	0.0	0	0	0	0	5	0	0	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
FGRAMPH1_01G00021	fgraminearum	fgraminearum_newlabel	0	test	5	-0.0945760338677587	0.06844207139039103	0.09586278125643725	0.0012867473886785563	0.0	0.0	0	0	0	0	5	0	0	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
FGRAMPH1_01G00037	fgraminearum	fgraminearum_newlabel	0	test	5	-0.01158101614769007	0.012190399198125427	0.01180876707658168	0.00022775092889160955	0.0	0.0	0	0	0	0	5	0	0	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
FGRAMPH1_01G00041	fgraminearum	fgraminearum_newlabel	0	test	5	-0.5611562469743945	0.029106174032669414	0.5611581683158875	1.9213414930249034e-06	1.0	0.0	0	0	0	5	0	0	0	0	0	0.0	False	5	1.0	True	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
FGRAMPH1_01G00047	fgraminearum	fgraminearum_newlabel	0	test	5	-0.03356549185569686	0.010860381095675956	0.03356549553573126	3.680034396311149e-09	0.0	0.0	0	0	0	0	5	0	0	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
FGRAMPH1_01G00055	fgraminearum	fgraminearum_newlabel	0	test	5	-0.018724825978278348	0.0031546508805877192	0.01872482597827908	7.326533149492807e-16	0.0	0.0	0	0	0	0	5	0	0	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
FGRAMPH1_01G00057	fgraminearum	fgraminearum_newlabel	0	test	5	-0.16132850246411218	0.030671300819721803	0.1613285034894943	1.025382086506407e-09	0.0	0.0	0	0	0	0	5	0	0	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
FGRAMPH1_01G00071	fgraminearum	fgraminearum_newlabel	0	test	5	-0.19079313671226977	0.012468585746215344	0.1907931417226791	5.010409336778857e-09	0.0	0.0	0	0	0	0	5	0	0	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
FGRAMPH1_01G00083	fgraminearum	fgraminearum_newlabel	0	test	5	-0.09097366354891387	0.02253653654957199	0.09124325513839716	0.00026959158948329113	0.0	0.0	0	0	0	0	5	0	0	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
FGRAMPH1_01G00101	fgraminearum	fgraminearum_newlabel	0	test	5	-0.03591792545943341	0.012791148835855153	0.0359179254621267	2.6932897515641844e-12	0.0	0.0	0	0	0	0	5	0	0	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued
