node_id	species	protocol	seed	space	label	umap1	umap2	transition	is_rescued
FGRAMPH1_01G00015	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	2.3676633834838867	4.894792556762695	TN_stable	False
FGRAMPH1_01G00021	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	1.777184247970581	-2.78908634185791	TN_stable	False
FGRAMPH1_01G00037	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	11.667502403259276	2.17337965965271	TN_stable	False
FGRAMPH1_01G00041	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	1.146996259689331	0.4954423904418945	FP_to_TN_corrected	False
FGRAMPH1_01G00047	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	-9.03017234802246	3.896103858947754	TN_stable	False
FGRAMPH1_01G00055	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	1.0119082927703855	-0.7919329404830933	TN_stable	False
FGRAMPH1_01G00057	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	-1.1125162839889526	-8.486741065979004	TN_stable	False
FGRAMPH1_01G00071	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	-10.454597473144531	-1.188262104988098	TN_stable	False
FGRAMPH1_01G00083	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	5.250373840332031	-4.120377540588379	TN_stable	False
FGRAMPH1_01G00101	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	7.733125686645508	-12.608738899230955	TN_stable	False
FGRAMPH1_01G00103	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	-2.161057472229004	6.444506168365479	TN_stable	False
FGRAMPH1_01G00111	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	-1.7206875085830688	-8.696243286132812	TN_stable	False
FGRAMPH1_01G00121	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	6.041981220245361	-11.854479789733888	TN_stable	False
FGRAMPH1_01G00147	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	-1.3919817209243774	8.427033424377441	TN_stable	False
FGRAMPH1_01G00153	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	-0.078947052359581	-0.2361405938863754	TN_stable	False
FGRAMPH1_01G00165	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	0.7493904829025269	-2.9491512775421143	TN_stable	False
FGRAMPH1_01G00171	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	0.9503413438796996	-3.0695548057556152	TN_stable	False
FGRAMPH1_01G00205	fgraminearum	fgraminearum_newlabel	1029	bio_input	0	-4.929930686950684	-1.6023619174957275	TN_stable	False
