node_id	species	protocol	label	split	seed	baseline_pred_label	esm2_pred_label	baseline_pred_score	esm2_pred_score	transition	transition_display
FGRAMPH1_01G00015	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0329132229089736	1.874813733593328e-06	TN_stable	TN_stable
FGRAMPH1_01G00021	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0317086763679981	3.5039054637309164e-05	TN_stable	TN_stable
FGRAMPH1_01G00037	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0020731328986585	2.248163582407869e-05	TN_stable	TN_stable
FGRAMPH1_01G00041	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.550294816493988	6.7490133481840076e-09	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G00047	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0200176704674959	2.821393726287757e-12	TN_stable	TN_stable
FGRAMPH1_01G00055	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0178865268826484	9.393989793288478e-23	TN_stable	TN_stable
FGRAMPH1_01G00057	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.1277165114879608	5.42360774347106e-12	TN_stable	TN_stable
FGRAMPH1_01G00071	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.1836521476507187	9.442509274482092e-12	TN_stable	TN_stable
FGRAMPH1_01G00083	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0622920840978622	6.793852662667632e-06	TN_stable	TN_stable
FGRAMPH1_01G00101	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0240681022405624	1.6591407780829633e-19	TN_stable	TN_stable
FGRAMPH1_01G00103	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0041852816939353	4.235162474449514e-20	TN_stable	TN_stable
FGRAMPH1_01G00111	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0406097657978534	2.87602066606496e-08	TN_stable	TN_stable
FGRAMPH1_01G00121	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0337551273405551	9.639939671166052e-15	TN_stable	TN_stable
